Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 90.00      0.09     0.09    18479     0.00     0.00  __gnu_cxx::__enable_if<std::__is_scalar<int>::__value, void>::__type std::__fill_a1<int*, int>(int*, int*, int const&)
 10.00      0.10     0.01    18478     0.00     0.00  KOSARAJU::dfs_Algo(int, int, std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >&, std::vector<int, std::allocator<int> >&)
  0.00      0.10     0.00  5120478     0.00     0.00  std::vector<int, std::allocator<int> >::operator[](unsigned long)
  0.00      0.10     0.00  5098000     0.00     0.00  std::_List_iterator<int>::_List_iterator(std::__detail::_List_node_base*)
  0.00      0.10     0.00  3998000     0.00     0.00  std::operator!=(std::_List_iterator<int> const&, std::_List_iterator<int> const&)
  0.00      0.10     0.00  2552000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  0.00      0.10     0.00  2552000     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.10     0.00  2552000     0.00     0.00  std::_List_node<int>::_M_valptr()
  0.00      0.10     0.00  2550000     0.00     0.00  std::vector<std::__cxx11::list<int, std::allocator<int> >, std::allocator<std::__cxx11::list<int, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.10     0.00  2550000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::end()
  0.00      0.10     0.00  2548000     0.00     0.00  std::_List_iterator<int>::operator*() const
  0.00      0.10     0.00  2548000     0.00     0.00  std::__cxx11::list<int, std::allocator<int> >::begin()
  0.00      0.10     0.00  1450000     0.00     0.00  std::_List_iterator<int>::operator++()
  0.00      0.10     0.00    65554     0.00     0.00  __gnu_cxx::new_allocator<int>::~new_allocator()
  0.00      0.10     0.00    65554     0.00     0.00  std::allocator<int>::~allocator()
  0.00      0.10     0.00    47257     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_get_Tp_allocator()
  0.00      0.10     0.00    45064     0.00     0.00  __gnu_cxx::new_allocator<int>::new_allocator(__gnu_cxx::new_allocator<int> const&)
  0.00      0.10     0.00    45064     0.00     0.00  std::allocator<int>::allocator(std::allocator<int> const&)
  0.00      0.10     0.00    41253     0.00     0.00  __gnu_cxx::new_allocator<int>::_M_max_size() const
  0.00      0.10     0.00    24665     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_deallocate(int*, unsigned long)
  0.00      0.10     0.00    24574     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  0.00      0.10     0.00    24574     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl::~_Vector_impl()
  0.00      0.10     0.00    24574     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::~_Vector_base()
  0.00      0.10     0.00    24574     0.00     0.00  std::vector<int, std::allocator<int> >::~vector()
  0.00      0.10     0.00    24574     0.00     0.00  void std::_Destroy<int*>(int*, int*)
  0.00      0.10     0.00    24574     0.00     0.00  void std::_Destroy<int*, int>(int*, int*, std::allocator<int>&)
  0.00      0.10     0.00    20696     0.00     0.00  unsigned long const& std::min<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      0.10     0.00    20661     0.00     0.00  __gnu_cxx::new_allocator<int>::max_size() const
  0.00      0.10     0.00    20661     0.00     0.00  std::allocator_traits<std::allocator<int> >::max_size(std::allocator<int> const&)
  0.00      0.10     0.00    20661     0.00     0.00  std::vector<int, std::allocator<int> >::_S_max_size(std::allocator<int> const&)
  0.00      0.10     0.00    20592     0.00     0.00  __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long)
  0.00      0.10     0.00    20592     0.00     0.00  __gnu_cxx::new_allocator<int>::allocate(unsigned long, void const*)
  0.00      0.10     0.00    20592     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_M_allocate(unsigned long)
  0.00      0.10     0.00    20592     0.00     0.00  std::allocator_traits<std::allocator<int> >::deallocate(std::allocator<int>&, int*, unsigned long)
  0.00      0.10     0.00    20592     0.00     0.00  std::allocator_traits<std::allocator<int> >::allocate(std::allocator<int>&, unsigned long)
  0.00      0.10     0.00    20512     0.00     0.00  std::_Vector_base<int, std::allocator<int> >::_Vector_impl_data::_Vector_impl_data()
